Domain,Category ,Definition ,Sub-category ,Definition ,Factor,Definition ,Source ,Type ,Qualitative,DHS,Pathways Survey,Second Domain ,Application (Geography),Alternative questions in DHS 7,Other Notes,Why does it impact vulnerability and overall health outcomes
Household economics and living conditions,Economic support ,"Access to sources of financial assistance, including remittances, community transfers, or instututional support.",Household Borrowing ,Patterns of saving and borrowing within the household as indicators of financial distress,Borrowing behavior ,Whether the HH borrowed money in the past year ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Economic support ,"Access to sources of financial assistance, including remittances, community transfers, or instututional support.",Household Borrowing ,Patterns of saving and borrowing within the household as indicators of financial distress,Purpose of loan,The purpose of borrowing in the past year ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,Social support,,,,
Household economics and living conditions,Economic support ,"Access to sources of financial assistance, including remittances, community transfers, or instututional support.",Household Borrowing ,Patterns of saving and borrowing within the household as indicators of financial distress,Source of loan ,The source of borrowing in the past year,Primary Survey,Quantitative,FALSE,FALSE,TRUE,Social support,,,,
Household economics and living conditions,Economic distress ,"Measures of financial strain or instability, including shocks, coping strategies, and unmet basic needs.",Economic shocks and coping mechanisms ,Household experiences of sudden financial hardship and the strategies used to cope with them,Experience of economic shock ,"Whether the HH experienced any economic shock in the past year, including type of shock",Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Economic distress ,"Measures of financial strain or instability, including shocks, coping strategies, and unmet basic needs.",Economic shocks and coping mechanisms ,Household experiences of sudden financial hardship and the strategies used to cope with them,Coping with economic shocks ,The strategy used by the HH to cope with the economic shock,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Economic distress ,"Measures of financial strain or instability, including shocks, coping strategies, and unmet basic needs.",Economic shocks and coping mechanisms ,Household experiences of sudden financial hardship and the strategies used to cope with them,Coping- Children relocation ,Whether children in the HH were relocated to cope with the shock,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Economic distress ,"Measures of financial strain or instability, including shocks, coping strategies, and unmet basic needs.",Economic shocks and coping mechanisms ,Household experiences of sudden financial hardship and the strategies used to cope with them,Coping- Additional work,Whether members in the HH took up additional work to cope with the shock ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Economic distress ,"Measures of financial strain or instability, including shocks, coping strategies, and unmet basic needs.",Economic shocks and coping mechanisms ,Household experiences of sudden financial hardship and the strategies used to cope with them,Coping- Child Labour ,Whether any child in the participant's family was involved in domestic labour to cope with the shock,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Economic distress ,"Measures of financial strain or instability, including shocks, coping strategies, and unmet basic needs.",Economic shocks and coping mechanisms ,Household experiences of sudden financial hardship and the strategies used to cope with them,Coping-dowry ,Whether the HH married off a daughter to receive dowry to cope with the shock ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,Regional,,,
Household economics and living conditions,Economic distress ,"Measures of financial strain or instability, including shocks, coping strategies, and unmet basic needs.",Perception of financial stress,The participant’s subjective feeling of economic strain or worry about meeting basic financial needs.,Perception of negative economic condition ,Whether the participant feels that they are able to meet needs or is facing poverty,,,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Economic distress ,"Measures of financial strain or instability, including shocks, coping strategies, and unmet basic needs.",Perception of financial stress,The participant’s subjective feeling of economic strain or worry about meeting basic financial needs.,Financial stress ,How the participant feels that their financial status has changed in the past year. ,,,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Economic distress ,"Measures of financial strain or instability, including shocks, coping strategies, and unmet basic needs.",Food insecurity ,"Inability of the household to consistently access sufficient, safe, and nutritious food.",Household hunger score ,Whether the household experiences hunger based on reporting that they often experienced low resources to buy food and how often family members went hungry through the day and slept hungry,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Economic distress ,"Measures of financial strain or instability, including shocks, coping strategies, and unmet basic needs.",Family (structural) stressors,Factors determined by the family structure which contribute to economic stress,Family member with chronic disease/disability,Whether anyone in the participant's family has a permanent disability or a chronic disease,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household economics and living conditions,Economic distress ,"Measures of financial strain or instability, including shocks, coping strategies, and unmet basic needs.",Family (structural) stressors,Factors determined by the family structure which contribute to economic stress,Size of family,Identifies the number of members staying under one roof and using the same stove for cooking,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household economics and living conditions,Time Poverty ,"The burden of unpaid labour and time-related constraints that limit the woman’s ability to rest, seek care, or pursue opportunities.",Time poverty ,NA ,Control over daily schedule ,Whether the participant feels that her daily schedule is flexible ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,Is included here as it talks about time poverty leading to potential economic loss ,
Household economics and living conditions,Time Poverty ,"The burden of unpaid labour and time-related constraints that limit the woman’s ability to rest, seek care, or pursue opportunities.",Time poverty ,NA ,Control over paid work time ,Whether the participant feels that she can change the amount of time spent on paid work ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,Is included here as it talks about time poverty leading to potential economic loss ,
Household economics and living conditions,Time Poverty ,"The burden of unpaid labour and time-related constraints that limit the woman’s ability to rest, seek care, or pursue opportunities.",Time poverty ,NA ,Control over private time ,Whether the participant feels that she can use her private time according to her plans ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,Is included here as it talks about time poverty leading to potential economic loss ,This could also connect to agency and decision making power
Household economics and living conditions,Time Poverty ,"The burden of unpaid labour and time-related constraints that limit the woman’s ability to rest, seek care, or pursue opportunities.",Time poverty ,NA ,Control over domestic tasks ,Whether the participant feels that she can change the amount of time spent on domestic chores ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,Is included here as it talks about time poverty leading to potential economic loss ,This could also connect to agency and decision making power
Household economics and living conditions,Time Poverty ,"The burden of unpaid labour and time-related constraints that limit the woman’s ability to rest, seek care, or pursue opportunities.",Time poverty ,NA ,Control over recreation time ,Whether the participant feels that she has enough time for recreation and socializing ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,Is included here as it talks about time poverty leading to potential economic loss ,
Household economics and living conditions,Time Poverty ,"The burden of unpaid labour and time-related constraints that limit the woman’s ability to rest, seek care, or pursue opportunities.",Time poverty ,NA ,Not working due to domestic load ,Whether the woman did not work in the past year due to multiple conflicting responsibilities ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,Is included here as it talks about time poverty leading to potential economic loss ,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Human and natural systems ,Environment and Climate Change ,"Perceptions and experiences of environmental and climate-related risks, including their impact on life",Environment and Climate Change ,NA ,Perceived impact of environment on health,Whether the participant feels that people in her community are getting sicker because of unclean air or water,,,TRUE,FALSE,FALSE,,,,,
Human and natural systems ,Environment and Climate Change ,"Perceptions and experiences of environmental and climate-related risks, including their impact on life",Environment and Climate Change ,NA ,Experience of natural disasters,Whether the participant has faced more drought or floods,,,TRUE,FALSE,FALSE,,,,,
Human and natural systems ,Environment and Climate Change ,"Perceptions and experiences of environmental and climate-related risks, including their impact on life",Environment and Climate Change ,NA ,Preparedness around climate change,Whether the participant can predict when there will be rainfall,,,TRUE,FALSE,FALSE,,,,,
Human and natural systems ,Environment and Climate Change ,"Perceptions and experiences of environmental and climate-related risks, including their impact on life",Environment and Climate Change ,NA ,Impact of climate change on livelihoods,Whether the participant has lost any assets due to a climate related event,,,TRUE,FALSE,FALSE,,,,,
Human and natural systems ,Migration ,Temporary or permanent movement patterns of the woman or the  household ,Form of migration ,The type of migration seen in the household including location and hosuehold members involved,Movement of family ,Whether the family of the participant had to move to a different city or village,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,Mobility and migration decisions are shaped by the broader environmental and economic forces and hence included under this domain. ,
Human and natural systems ,Migration ,Temporary or permanent movement patterns of the woman or the  household ,Form of migration ,The type of migration seen in the household including location and hosuehold members involved,Migration pattern ,"The type of migration that the family of the participant has had (rural-rural, rural-urban, urban-rural, urban-urban) ",,,FALSE,FALSE,TRUE,,,,,
Human and natural systems ,Migration ,Temporary or permanent movement patterns of the woman or the  household ,Drivers of migration ,The reasons influencing the decision to migrate ,Reasons behind migration ,The reason leading to the migration of the family of the participant,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,Mobility and migration decisions are shaped by the broader environmental and economic forces and hence included under this domain. ,
Human and natural systems ,Migration ,Temporary or permanent movement patterns of the woman or the  household ,Status of migration ,Who in the household has migrated and how recently relocation has occurred ,Time since relocation ,Time since the family relocated ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,Mobility and migration decisions are shaped by the broader environmental and economic forces and hence included under this domain. ,
Human and natural systems ,Migration ,Temporary or permanent movement patterns of the woman or the  household ,Status of migration ,Who in the household has migrated and how recently relocation has occurred ,Permanent residence ,Number of years the family has lived in the same home,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,Mobility and migration decisions are shaped by the broader environmental and economic forces and hence included under this domain. ,
Human and natural systems ,Migration ,Temporary or permanent movement patterns of the woman or the  household ,Status of migration ,Who in the household has migrated and how recently relocation has occurred ,Partner is a migrant worker,Whether the partner of the participant has been away from home for more than a month in the past year for the purpose of work or conflict ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,Household economics and living conditions,,,,
Human and natural systems ,Migration ,Temporary or permanent movement patterns of the woman or the  household ,Status of migration ,Who in the household has migrated and how recently relocation has occurred ,Woman is a migrant worker,Whether the participant has been away from home for more than a month in the past year for the purpose of work or conflict ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,Mobility and migration decisions are shaped by the broader environmental and economic forces and hence included under this domain. ,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to health facility ,The ease with which the household can access the nearest health facility ,Time to nearest health facility ,Time to get to the nearest health facility ,Survey and DHS,Quantitative,FALSE,FALSE,TRUE,Health mental models,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to health facility ,The ease with which the household can access the nearest health facility ,Mode of transportation to facility ,Type of transportation the participant uses to get to the nearest health facility ,Survey and DHS,Quantitative,FALSE,FALSE,TRUE,Health mental models,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to sanitation ,The availability and type of sanitation facility accessible to the household for safe and dignified sanitation practises ,Safe and dignified sanitation,Whether the household has access to a pit or flush latrine within their home ,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to sanitation ,The availability and type of sanitation facility accessible to the household for safe and dignified sanitation practises ,Ownership of toilet,Whether the household owns a pit or latrine toilets or shares it with other households,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to water,"The household’s access to an improved and reliable water source that is available within a reasonable distance and time, enabling safe consumption and hygiene practices.",Access to safe and reliable drinking water ,Whether the HH has access to piped drinking water source in the dwelling or in the yard/plot,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to water,"The household’s access to an improved and reliable water source that is available within a reasonable distance and time, enabling safe consumption and hygiene practices.",Time taken to collect water ,The amount of time taken to collect drinking water,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to safe cooking ,"Whether the household environment has access to clean fuels and appropriate cooking spaces that reduce indoor air pollution, fire risk and enable safe food preparation",Separate kitchen,Whether the participant has access to a separate kitchen ,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to safe cooking ,"Whether the household environment has access to clean fuels and appropriate cooking spaces that reduce indoor air pollution, fire risk and enable safe food preparation",Clean cooking fuel ,Whether the participant has access to clean cooking fuel ,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to electricity,Whether the household is connected to a reliable and functional source of electricity ,Access to electricity,Whether the household has access to electricity,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to electricity,Whether the household is connected to a reliable and functional source of electricity ,Source of electricity,"Whether the HH has electricity through the national grid, solar panels, electric generator or other sources",Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to insurance ,Whether the household is covered by insurance ,Overall insurace coverage ,Percentage of family members covered by insurance ,,,FALSE,TRUE,FALSE,,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to housing ,Whether the household has access to good housing conditions ,Informal housing condition ,Whether the household experiences informal housing conditions ,,,FALSE,TRUE,TRUE,Household economics and living conditions,,,,
Human and natural systems ,Infrastructure access,Access to basic infrastructure and services essential in the day to day life,Access to housing ,Whether the household has access to good housing conditions ,Infomal urban settlement ,Whether the household lives in an urban slum or an informal urban settlement ,,,FALSE,TRUE,TRUE,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Fertility and pregnancy goals ,The woman's desired reproductive outcome ,Desire for pregnancy ,Whether the participant desired her last or current pregnancy ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Fertility and pregnancy goals ,The woman's desired reproductive outcome ,Fertility preference,Whether the participant wants to have: more children; is undecided; or does not want/cannot have more children,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Fertility and pregnancy goals ,The woman's desired reproductive outcome ,Ideal number of children ,The total number of children that the participant ideally wants/wanted to have ,Primary Survey,Quantitative,FALSE,TRUE,FALSE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Fertility and pregnancy goals ,The woman's desired reproductive outcome ,Goal alignment - children,"Whether the participant and her partner are aligned on preferences for future childbearing
",,,FALSE,TRUE,TRUE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Current method usage ,The woman's desired reproductive outcome ,Condom usage ,Whether the participant has used condom in the last sexual intercation ,Primary Survey,Quantitative,FALSE,TRUE,FALSE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Current method usage ,The woman's current contraceptove choice and usage patterns,Female vs male led methods,"Whether the participant is currently using 
female- or male-led methods",Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Current method usage ,The woman's current contraceptove choice and usage patterns,Traditional vs modern methods,Whether the participant is currently using traditional or modern methods,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Current method usage ,The woman's current contraceptove choice and usage patterns,Type of contraceptive - current,The type of contraceptives currently being used by the couple (including traditional vs modern contraceptives),,,FALSE,FALSE,TRUE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Intentions around contraceptive usage ,The woman’s stated plans or readiness to use contraception in the future,Intention to use contraceptives ,Whether the participant desires to use contraceptives to delay a pregnancy in the next year or at a later date ,,,FALSE,FALSE,TRUE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Intentions around contraceptive usage ,The woman’s stated plans or readiness to use contraception in the future,Intention-Action gap ,Whether the woman has expressed a preference to have no more children but is currently not using any modern contraceptive,,,FALSE,TRUE,TRUE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Intentions around contraceptive usage ,The woman’s stated plans or readiness to use contraception in the future,Rejection of pregnancy ,Whether the partner or any family member has got angry on her after learning of her pregnancy ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Contraceptive avoidance,Mental models which could lead to contraceptive avoidance,Impact of contraceptives,Whether the participant believes that contraceptives lead to infertility and physical symptoms,,Qualitative,TRUE,FALSE,FALSE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Contraceptive avoidance,,Necessity of contraceptives,Whether the participant believes that contraceptives are not needed in marriage/committed relationship or in case of infrequent sex,,Qualitative,TRUE,FALSE,FALSE,,,,,
Health mental models ,Contracpetive and reproductive behaviors ,Describes the woman’s behavioral patterns and decisions around contraception and fertility management,Knowledge accuracy ,NA,Knowledge around pregnancy ,Whether the woman has knowledge around safe days and periods where pregnancy is possible ,,,FALSE,TRUE,FALSE,,,,,
Health mental models ,Parity ,Captures the woman’s number of live births and its influence on her reproductive intentions and health decisions.,Parity,NA,Live births ,The total number of live births the participant has had ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,There are a number of specific questions on quantitative surveys about # of children and live births,
Health mental models ,Parity ,Captures the woman’s number of live births and its influence on her reproductive intentions and health decisions.,Parity,NA,Living children ,The number of living children the participant currently has ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,Household Relationships,,,There are a number of specific questions on quantitative surveys about # of children and live births,
Health mental models ,Health system engagement for RMNCH services ,Describes the woman’s patterns of interaction and continuity of use with clinic based RMNCH  services.,ANC,NA,Timely ANC ,Whether the participant began ANC during the first trimester,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Health system engagement for RMNCH services ,Describes the woman’s patterns of interaction and continuity of use with clinic based RMNCH  services.,ANC,NA,ANC provider,Whether the participant met formal health care practitioners or traditional practioners for ANC,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Health system engagement for RMNCH services ,Describes the woman’s patterns of interaction and continuity of use with clinic based RMNCH  services.,ANC,NA,Maternal vaccination ,Whether the participant has received tetatnus toxoid during pregnancy ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Health system engagement for RMNCH services ,Describes the woman’s patterns of interaction and continuity of use with clinic based RMNCH  services.,Delivery ,NA,Birth attendant type,Whether the participant had assistance from a trained healthcare professional or a traditional birth attendant during her last delivery ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Health system engagement for RMNCH services ,Describes the woman’s patterns of interaction and continuity of use with clinic based RMNCH  services.,PNC,NA,Timing of PNC- Woman,The time taken from delivery to PNC for woman ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Health system engagement for RMNCH services ,Describes the woman’s patterns of interaction and continuity of use with clinic based RMNCH  services.,PNC,NA,Service provider for PNC Woman ,"Whether the participant received PNC  from a trained healthcare professional or a traditional birth attendant, during her last delivery ",Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Health system engagement for RMNCH services ,Describes the woman’s patterns of interaction and continuity of use with clinic based RMNCH  services.,PNC,NA,Timing of PNC- Child,The time taken from delivery to PNC for youngest child ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Health system engagement for RMNCH services ,Describes the woman’s patterns of interaction and continuity of use with clinic based RMNCH  services.,PNC,NA,Service provider for PNC - child,Whether the youngest child of the participant received PNC  from a trained healthcare professional or a traditional birth attendant,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Health system engagement for RMNCH services ,Describes the woman’s patterns of interaction and continuity of use with clinic based RMNCH  services.,Child illness ,NA,Diarrhea treatment ,Whether the participant has a child who has had diarrhea in the past 2 weeks and has had treatment ,,,FALSE,TRUE,FALSE,,,,,
Health mental models ,Health system engagement for RMNCH services ,Describes the woman’s patterns of interaction and continuity of use with clinic based RMNCH  services.,Birth Registration ,NA,Knowledge of birth registration ,Whether the participant has knowledge on registering a birth,,,FALSE,TRUE,FALSE,,,,,
Health mental models ,Health system engagement for RMNCH services ,Describes the woman’s patterns of interaction and continuity of use with clinic based RMNCH  services.,Birth Registration ,NA,Ever registered birth ,Whether the participant has ever registered a birth ,,,FALSE,TRUE,FALSE,,,,,
Health mental models ,Immunization ,"Reflects the woman’s attitudes, knowledge, and practices regarding vaccination for her children.",Immunization knowledge and beliefs ,The woman’s understanding of vaccines and the immunization system,Vaccination card ,Whether the participant has a vaccination card for the youngest child ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Immunization ,"Reflects the woman’s attitudes, knowledge, and practices regarding vaccination for her children.",Immunization knowledge and beliefs ,The woman’s understanding of vaccines and the immunization system,Beliefs around immunization ,Whether the participant believes that vaccination is important for their child ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Immunization ,"Reflects the woman’s attitudes, knowledge, and practices regarding vaccination for her children.",Immunization knowledge and beliefs ,The woman’s understanding of vaccines and the immunization system,Knowledge of immunization source,Whether the participant knows where to get vaccines for their child ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Immunization ,"Reflects the woman’s attitudes, knowledge, and practices regarding vaccination for her children.",Motivation for immunization ,"The woman’s readiness to vaccinate a child, shaped by intentions, expectations and barriers",Expectation to immunize ,Whether the participant believes that her friends and family want her to vaccinate her child ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Immunization ,"Reflects the woman’s attitudes, knowledge, and practices regarding vaccination for her children.",Motivation for immunization ,"The woman’s readiness to vaccinate a child, shaped by intentions, expectations and barriers",Intention to immunize,Whether the participant plans to administer all listed vaccines to their child ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Immunization ,"Reflects the woman’s attitudes, knowledge, and practices regarding vaccination for her children.",Motivation for immunization ,"The woman’s readiness to vaccinate a child, shaped by intentions, expectations and barriers",Barrier to immunization - cost,Whether cost is a major barrier for vaccination ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Preferred site for healthcare ,The type of health facility a participant prefers to visit when seeking care,Preferred site for healthcare ,NA,Preferred care source - woman general,The generally preferred site of care for health issues faced women,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Preferred site for healthcare ,The type of health facility a participant prefers to visit when seeking care,Preferred site for healthcare ,NA,Preferred care source - child general,The generally preferred site of care for health issues faced by the children of the participant,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Women's Health ,Health seeking patterns for women concerning her own health ,Recent illness - woman,Whether the participant faced any illness in the past 30 days ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Women's Health ,Health seeking patterns for women concerning her own health ,Recent illness - woman symptoms,The symptoms faced by the participant in case of an illness in the past month ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Women's Health ,Health seeking patterns for women concerning her own health ,Recent illness - woman careseeking,Whether the participant sought care for her illness in the past month ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Women's Health ,Health seeking patterns for women concerning her own health ,Recent illness - woman careseeking location,The actual point of care-seeking for the illness faced by the participant in the past month,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Child's Health ,Health seeking patterns for women concerning her child's health ,Recent illness - child careseeking,Whether the participant sought care for the illness of her youngest child in the past month ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Child's Health ,Health seeking patterns for women concerning her child's health ,Recent illness - child careseeking location,The actual point of care-seeking for the illness faced by the youngest child of the participant in the past month,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Barriers to seeking care ,System constraints experienced which prevent formal care-seeking ,Experience of multiple barriers to care ,Whether the participant experiences more than 3 barriers to care ,,,FALSE,TRUE,FALSE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Barriers to seeking care ,System constraints experienced which prevent formal care-seeking ,Distance as a barrier,Whether the participant feels distance to the nearest clinic is a major barrier to seeking care ,,,FALSE,TRUE,FALSE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Barriers to seeking care ,System constraints experienced which prevent formal care-seeking ,Cost as a barrier,Whether the participant feels cost of treatment is a major barrier to seeking care ,,,FALSE,TRUE,FALSE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Barriers to seeking care ,System constraints experienced which prevent formal care-seeking ,Transportation as a barrier,Whether the participant feels arranging transportation is a major barrier to seeking care ,,,FALSE,TRUE,FALSE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Barriers to seeking care ,System constraints experienced which prevent formal care-seeking ,Lack of provider as a barrier,Whether the participant feels absence of providers is a major barrier to seeking care ,,,FALSE,TRUE,FALSE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Barriers to seeking care ,System constraints experienced which prevent formal care-seeking ,Lack of female provider as a barrier,Whether the participant feels absence of female providers is a major barrier to seeking care ,,,FALSE,TRUE,FALSE,,,,,
Health mental models ,Healthcare seeking behavior ,"Describes how, when, and where the woman chooses to access health services when experiencing any illness in the family or for routine visits.",Barriers to seeking care ,System constraints experienced which prevent formal care-seeking ,Medication availability as a barrier ,Whether the participant feels medication availability is a major barrier to seeking care ,,,FALSE,TRUE,FALSE,,,,,
Health mental models ,Health risk perception ,The participant’s pattern of assessing and responding to the risk of different types of illness experienced by herself and her children,Health risk perception ,NA,Risk assessment - Child illness,"Categorizes the risk assessment pattern of the participant when it comes to child illness between 
a) Normalization of symptoms 
b) Familiarity based home care 
c) Dependence on others 
d) Preference for traditional methods 
e) Preference for formal care ",Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
